Tanggal;Judul;URL;Isi Berita
02 Agu 2023 23:55;MuhaiminIskandarTekadkan PKB Perkuat Dialog Antariman dan Kebebasan Beragama;https://www.liputan6.com/regional/read/5360464/muhaimin-iskandar-tekadkan-pkb-perkuat-dialog-antariman-dan-kebebasan-beragama;"Liputan6.com, Medan
Muhaimin Iskandar
bertekad Partai Kebangkitan Bangsa (
PKB
) ke depan semakin memperkuat dialog
antariman
. Karena semakin kuat iman, maka akan semakin menopang dan mendukung.
Hal itu disampaikan
Cak Imin
, sapaan akrab Muhaimin Iskandar kepada wartawan usai silaturahmi dengan tokoh lintas agama Sumatera Utara (
Sumut
) yang diselenggarakan Badan Persaudaraan Antariman (
Berani
) di
Medan
, Rabu (2/8/2023).
BACA JUGA:
Demo DPR Ricuh, Cak Imin: Pelajaran untuk Anggota Dewan
BACA JUGA:
Terima Bintang Mahaputera Adipurna, Cak Imin Bilang Begini
BACA JUGA:
Cak Imin Dorong Kampus Seluruh Indonesia Jalankan Program Sekolah Rakyat
""Tidak hanya sekadar sebagai penguat kemandirian masyarakat untuk menopang itu. Tetapi secara aturan harus dijaga, sehingga seluruh jenis peraturan harus memberikan ruang kebebasan beragama,"" kata Cak Imin.
Advertisement
Baca Juga
Soal Koalisi PKB dengan Gerindra, Muhaimin Iskandar: Pasti Solid Sampai Sejauh Ini
Gerindra Akan Memuliakan PKB dan Muhaimin Iskandar
Generasi Z di Jaksel Beri Dukungan untuk Ketua Umum PKB Muhaimin Iskandar di Pemilu 2024
Diterangkannya, aspirasi yang disampaikan oleh para tokoh agama lintas iman di
Sumut
, di bawah koordinasi
Berani
, diapat disimpulkan apapun perbedaan agama dalam melaksanakan ibadah, masing-masing agama harus dihormati, diberi ruang, diberi kesempatan.
""Karena sebaik-baiknya orang adalah yang beragama daripada memberi ruang orang yang tidak beragama,"" ujarnya.
Muhaimin Iskandar
berkeyakinan, dengan penguatan solidaritas dan dialog antariman para tokoh-tokoh agama, maka gangguan, cobaan, hingga tantangan di setiap zaman akan bisa diatasi.
""Semua aspirasi, selagi kewenangan saya, akan kami lakukan sungguh-sungguh, kalau bersinggungan ke pemerintah, kita akan langsung sampaikan. Kalau ke Pak Jokowi, saya langsung yang akan ngomong. Biasanya ke Pak Jokowi, kalau
PKB
langsung diterima,"" ucapnya."
02 Agu 2023 18:03;Soal Koalisi PKB dengan Gerindra,MuhaiminIskandar: Pasti Solid Sampai Sejauh Ini;https://www.liputan6.com/regional/read/5360229/soal-koalisi-pkb-dengan-gerindra-muhaimin-iskandar-pasti-solid-sampai-sejauh-ini;"Liputan6.com, Deli Serdang
Ketua Umum Partai Kebangkitan Bangsa (
PKB
)
Muhaimin Iskandar
memastikan koalisi partai yang dipimpinnya dengan
Gerindra
sejauh ini masih solid.
Hal itu ditegaskan
Cak Imin
, sapaan akrab Muhaimin Iskandar, ketika ditanya wartawan saat baru tiba di Bandara Kualanamu, Kabupaten Deli Serdang, Sumatera Utara (
Sumut
).
BACA JUGA:
Ida Fauziyah Dukung Rahayu Saraswati Tetap di DPR: Dia Aktif Perangi Perdagangan Manusia
BACA JUGA:
Cak Imin: PKB Lahir dari Rakyat, Maka Setiap Perjuangan Harus Berpihak ke Rakyat
BACA JUGA:
Sekjen PKB Raih Gelar Doktor, Cak Imin Beri Pesan Khusus
""Ya, pasti solid sampai sejauh ini,"" kata Cak Imin, Rabu (2/8/2023).
Advertisement
Baca Juga
Gerindra Akan Memuliakan PKB dan Muhaimin Iskandar
Generasi Z di Jaksel Beri Dukungan untuk Ketua Umum PKB Muhaimin Iskandar di Pemilu 2024
Puncak Ibadah Haji Dimulai, Muhaimin Iskandar Ajak Jemaah Haji Doakan Indonesia Selamat dan Damai
Kedatangan Muhaimin Iskandar disambut ribuan kader dan simpatisan
PKB Sumut
. Setibanya di Bandara Kualanamu, Cak Imin mendapat sambutan hangat dari tokoh adat Karo.
Turut menyambut Cak imin, Ashari Tambunan dan Ketua DPW PKB Sumut, M Jafar Sukhairi Nasution. Pada kesempatan itu Cak Imin dipakaikan pakaian adat suku Karo.
Setelah keluar dari terminal kedatangan menuju lokasi penjemputan, Muhaimin Iskandar langsung disambut teriakan ""Gus Muhaimin Capres 2024"" dari para kader.
Mendapat sambutan hangat,
Cak Imin
tampak senyum dan bahagia."
01 Agu 2023 21:59;Gerindra Akan Memuliakan PKB danMuhaiminIskandar;https://www.liputan6.com/pemilu/read/5359430/gerindra-akan-memuliakan-pkb-dan-muhaimin-iskandar;"Liputan6.com, Jakarta
Partai Gerindra akan memperlakukan rekan koalisinya dengan baik. Partai Gerindra menjamin akan memberikan tempat yang mulia bagi PKB dan ketua umumnya, Muhaimin Iskandar alias
Cak Imin
.
""Gerindra dipastikan akan memperlakukan semua sahabat dan mitra koalisinya dengan baik, apalagi PKB dan Gus Muhaimin Iskandar. Kami pastikan akan selalu menghormati dan memuliakan mereka. Memberikan posisi yang terbaik, paling terhormat,"" ujar Wakil Ketua Umum
Partai Gerindra
Habiburokhman di Kompleks Parlemen, Senayan, Jakarta, Selasa (1/8/2023).
BACA JUGA:
Keponakan Prabowo: Partai Gerindra Setuju Tunjangan Anggota DPR Dihentikan
BACA JUGA:
Gerindra Bakal Cabut Keanggotaan Immanuel Ebenezer Usai Jadi Tersangka KPK
Baca Juga
Rahayu Saraswati: Selama Pak Prabowo Presiden, Hampir Mustahil Saya Jadi Menteri
Mendadak Rahayu Keponakan Prabowo Mundur dari DPR
Ahmad Dhani Ungkap Pesan Prabowo di Rapat Tertutup Kertanegara, Langsung Usul Bikin UU Anti Flexing
Namun, jika terkait soal calon wakil presiden (cawapres), Habiburokhman menyatakan, sampai saat ini belum diputuskan oleh koalisi Gerindra-PKB. Habiburokhman memastikan akan membahas bersama Ketua Umum Partai Gerindra
Prabowo Subianto
dan Ketua Umum PKB Muhaimin Iskandar.
Advertisement
""Lalu apakah cawapresnya siapa? Itu kan domainnya Pak Prabowo dan Gus Muhaimin, kita tunggu saja,"" ujar Habiburokhman.
Sementara itu, Prabowo mengaku telah nyaman bersama
PKB
dan Muhaimin. Hal itu disampaikan Prabowo di hadapan Muhaimin Iskandar ketika Milad PBB ke-25 di ICE BSD City, Tangerang, Minggu (30/7/2023).
""Saya di tengah PBB saya merasa nyaman. Itu kalau saya di tengah PBB. Kalau saya di tengah PKB saya merasa nyaman juga. Gus jangan ke mana-mana, Gus!"" kata Prabowo dalam sambutannya.
PKB sendiri merasa koalisi bersama Gerindra adalah yang terbaik untuk menghadapi
pilpres 2024
.
Wasekjen PKB Syaiful Huda menilai, Koalisi Kebangkitan Indonesia Raya (KKIR) yang dibangun PKB dan Partai Gerindra merupakan koalisi terbaik yang ada untuk menghadapi
pemilu 2024
.
Huda menjelaskan, indikasi yang membuat koalisi PKB-Gerindra menjadi yang terbaik salah satunya adalah kondisi PKB dan Gerindra yang sama-sama butuh untuk memenuhi 20 persen
presidential threshold
. Tetapi, kebutuhannya itu realistis dan objektif.
""Hitungannya seperti apa? Yang pertama, PKB adalah partai politik yang memenangkan pemilu 2019 di Jawa Timur dan pemenang kedua di Jawa Tengah. Saat yang sama, Gerindra pemenang di Jawa Barat dan Banten. Jadi dua-duanya saling melengkapi,"" kata Huda saat
talkshow
bertajuk ""Gus Imin Pilih Siapa?"", di Kantor DPP PKB, Jakarta, Selasa (1/8/2023)."
19 Jul 2023 17:00;Generasi Z di Jaksel Beri Dukungan untuk Ketua Umum PKBMuhaiminIskandardi Pemilu 2024;https://www.liputan6.com/pemilu/read/3996340/generasi-z-di-jaksel-beri-dukungan-untuk-ketua-umum-pkb-muhaimin-iskandar-di-pemilu-2024;"Liputan6.com, Jakarta -
Momentum pergantian Tahun Baru Islam 1445 Hijriah yang jatuh pada hari ini, Rabu (19/7/2023) digunakan generasi Z atau Gen Z di Jakarta Selatan untuk menyatakan dukungan terhadap Ketua Umum PKB
Muhaimin Iskandar
pada Pemilihan Umum atau
Pemilu 2024
mendatang.
Mereka menilai, pria yang akrab disapa Gus Imin ini tepat menjadi calon presiden atau
capres 2024
.
BACA JUGA:
Demo di Nepal Memanas, Gedung Parlemen Dibakar Massa
BACA JUGA:
Fenomena Marriage is Scary di Mata Gen Z, Nikah Muda Bukan Prioritas
BACA JUGA:
Gen Z Buktikan Bukan Sekadar Penggerutu, Punya Pemikiran dan Solusi untuk Isu Kesehatan
Baca Juga
Terpilih Lewat Aplikasi Daring Discord, Ini Sosok Sushila Karki PM Nepal yang Baru
Keterampilan Sepele, tapi Penting untuk Gen Z di Dunia Kerja
Panduan Parenting Remaja untuk Ibu Usia 45 Tahun, Kunci Sukses Hadapi Generasi Digital
""Generasi Z dari 65 kelurahan di Jakarta Selatan yang tergabung dalam organisasi GenZi (Gue Zillenial) mendukung
Gus Imin
maju menjadi calon presiden di Pemilu 2024,"" ujar Ketua GenZi Jakarta Selatan Ahmad Safarudin dalam keterangan tertulis, Rabu (19/7/2023).
Advertisement
Menurut dia, sebelum deklasi, GenZi Jakarta Selatan juga menggelar diskusi buku karya Gus Imin berjudul 'Visioning Indonesia' dilanjut penulisan petisi.
Ahmad mengatakan, generasi muda sudah melek terhadap sosok yang tepat menjadi penerus kepemimpinan bangsa.
""Mari kita selaku generasi penerus memastikan tongkat estafet kepemimpinan negara ini dibawa oleh sosok yang pro generasi muda,"" papar dia.
Ahmad menilai, Gus Imim telah memiliki banyak pengalaman yang mampu diaplikasikan dalam membangun Indonesia kedepan.
""Aspirasi generasi Z harus diserap dalam setiap sendi pembangunan bangsa,"" jelas dia.
Pada kesempatan sama, GenZi dari Tegal Parang Iqbal menilai Gus Imin merupakan tokoh nasional yang dekat dengan generasi muda.
""Saya melihat Gus Imin merupakan tokoh nasional yang dekat dengan kami-kami ini, orangnya cerdas sangat cocok jadi presiden di 2024,"" kata Iqbal.
Sementara itu, GenZi dari Cilandak Putri Sukma mengatakan, karakter Gus Imin sangat sederhana namun visioner. Ia banyak mengetahui dari pemikiran yang dilahirkan Gus Imin temasuk dari salah satu karyanya tersebut.
""Saya pertama kali kenal Gus Imin dari media, orangnya ternyata asik dan saya bersama temen-teman mendukungnya maju jadi presiden,"" pungkas Putri."
27 Jun 2023 16:13;Ibadah Haji Dimulai,MuhaiminIskandarAjak Jemaah Haji Doakan Indonesia Selamat dan Damai;https://www.liputan6.com/news/read/5330553/puncak-ibadah-haji-dimulai-muhaimin-iskandar-ajak-jemaah-haji-doakan-indonesia-selamat-dan-damai;"Liputan6.com, Jakarta
Jemaah haji dari seluruh dunia termasuk jemaah haji Indonesia pada hari ini, 27 Juni 2023 sedang melaksanakan prosesi wukuf di Padang Arafah, Makkah. Waktu wukuf dimulai setelah tergelincirnya matahari (waktu Zhuhur) pada 9 Dzulhijjah, hari Arafah.
Lantunan talbiah sepanjang malam hingga pagi ini terus dilafalkan 2,5 juta jemaah haji di tempat mustajab itu, termasuk oleh 229 ribu jemaah calon haji Indonesia.
BACA JUGA:
Alimin Ribut Calon Hakim Agung, Pernah Vonis Mati Sambo Tak Dapat Suara di DPR
BACA JUGA:
Primus Blak-blakan Depan Dirut LPDP di DPR, Keras Luapkan Sejumlah Masalah
Baca Juga
Heboh DPR Ungkap Kabar Uang Miliaran Nasabah Sekuritas Dibobol, OJK Diminta Buka-bukaan
Jelang Demo Ojol Hari Ini, Lalin Menuju Gedung DPR Masih Ramai Lancar
Kelakar Pigai Teriak Bikin DPR Meriah, Ngaku Kader Gerindra Tapi Kok Enggak Punya KTA?
Ketua Tim Pengawas Haji DPR RI Abdul Muhaimin Iskandar atau Gus Imin bersyukur seluruh Jemaah Haji dapat bersama-sama melaksanakan Wukuf di Padang Arafah sebagai rukun utama ibadah Haji.
Advertisement
“Alhamdulillah seluruh Jemaah haji hari ini memasuki puncak haji, yaitu wukuf di Arafah. Di mana al hajju Arafah. Kita semua akan melaksanakan satu rukun Haji yang paling pokok yaitu berkumpul di Padang Arafah,” kata Gus Imin, Selasa (27/6/2023).
Ketua Umum Partai Kebangkitan Bangsa (PKB) ini mengatakan Padang Arafah adalah tempat paling mustajab untuk berdoa. Pun demikian waktu pelaksanaan Wukuf di Arafah merupakan waktu paling istijabah.
“Di situlah kita akan bertemu satu keadaan doa yang terkabul di tempat yang terkabul. Kita mendapatkan keyakinan dan cerita dari para Kiai bahwa tidak ada tempat dan waktu yang sama untuk dikabulkan doanya kecuali di waktu Arafah,” tutur Gus Imin."
22 Jun 2023 21:46;MuhaiminIskandarPimpin Timwas Haji Tahap II DPR RI, Pantau Pelaksanaan Haji Tahun;https://www.liputan6.com/news/read/5326793/muhaimin-iskandar-pimpin-timwas-haji-tahap-ii-dpr-ri-pantau-pelaksanaan-haji-tahun-2023;"Liputan6.com, Jakarta
Wakil Ketua Dewan Perwakilan Rakyat (DPR) Bidang Kesejahteraan Rakyat, Muhaimin Iskandar memimpin Tim Pengawas Tahap II DPR RI melakukan pengawasan eksternal terhadap pelaksanaan Ibadah Haji tahun 1444 H/2023 M. Timwas II akan mengawasi pelaksanaan ibadah haji mulai hari ini, Kamis, 22 Juni sampai 7 Juli 2023 di Arab Saudi.
Seperti diketahui, dalam rangka pelaksanaan tugas pengawasan sebagaimana diamanatkan dalam Pasal 27 Ayat (3) Undang-Undang Nomor 8 Tahun 2019 tentang Penyelenggaraan Ibadah Haji dan Umrah, DPR RI melakukan pengawasan eksternal terhadap pelaksanaan ibadah haji.
BACA JUGA:
Dasco Sambut Hangat Menhan Sjafrie Sampai Diantar ke Rapat Komisi I DPR
BACA JUGA:
Komisi VI Depan Pejabat BP Batam: Kami dan Bapak Banyak Mana Dosanya?
Baca Juga
Heboh DPR Ungkap Kabar Uang Miliaran Nasabah Sekuritas Dibobol, OJK Diminta Buka-bukaan
Jelang Demo Ojol Hari Ini, Lalin Menuju Gedung DPR Masih Ramai Lancar
Kelakar Pigai Teriak Bikin DPR Meriah, Ngaku Kader Gerindra Tapi Kok Enggak Punya KTA?
Berkaitan dengan hal itu, Pimpinan DPR RI pada Masa Persidangan V Tahun Sidang 2022-2023 ini telah membentuk Tim Pengawas Haji DPR RI dipimpin Wakil Ketua DPR RI Muhaimin Iskandar yang bertugas melakukan pengawasan eksternal terhadap pelaksanaan Ibadah Haji tahun 1444 H/2023 M.
Advertisement
Tugas pengawasan Timwas Haji DPR RI ini dibagi dua, yakni Timwas I yang akan mengawasi persiapan ibadah haji dari tanggal 19 Juni – 4 Juli 2023. Sementara Timwas II mengawasi pelaksanaan ibadah haji mulai hari Kamis, 22 Juni sampai 7 Juli 2023 mendatang."
18 Jun 2023 16:24;Harap Pemimpin Peduli Lingkungan, Ratusan Aktivis Deklarasikan Dukungan keMuhaiminIskandar;https://www.liputan6.com/pemilu/read/5322506/harap-pemimpin-peduli-lingkungan-ratusan-aktivis-deklarasikan-dukungan-ke-muhaimin-iskandar;"Liputan6.com, Jakarta -
Ratusan aktivis peduli lingkungan menggelar kegiatan bebersih kawasan pantai kaki Suramadu, Minggu (18/6) pagi. Mereka tergabung dalam AL-AMIN (Aktivis Lingkungan Mendukung
Gus Imin
).
Juru bicara Komunitas AL-AMIN, Ahmad Mutamtam mengatakan, kegiatan bersih-bersih wilayah pantai di kawasan kaki Suramadu kali ini, merupakan bentuk kepedulian para aktivis lingkungan tersebut, terhadap kebersihan salah satu icon Madura yang selama ini kurang diperhatikan publik.
BACA JUGA:
Hadiri Pelantikan Hanura Jatim, Oso Harap Struktur Kepengurusan Cepat Selesai
Baca Juga
NasDem Pasang Target Masuk 3 Besar di Pemilu 2029, Konsolidasi jadi Fokus Utama
Pentingnya Layanan Pendidikan Tambahan Selain Sekolah, Mengingat Ketatnya Seleksi Masuk Perguruan Tinggi
Kinerja PPP di Pemilu 2024 Harus Dievaluasi, Bukan Saling Menyalahkan
""Kawasan ini kan bagian dari icon Madura, sudah sepatutnya kami jaga kebersihannya,"" kata Ahmad Mutamtam seperti dikutip dari siaran pers, Senin (19/6/2023).
Advertisement
Selain aksi bebersih, lanjut Ahmad Mutamtam, kelompoknya juga mendeklarasikan dukungan kepada
Muhaimin Iskandar
sebagai Calon Presiden pada Pilpres 2024.
Ahmad Mutamtam beralsan, dukungan dilakukan sebagi wujud selain bersih-bersih, komunitas AL-AMIN juga ingin menunjukkan pesan kepada Muhaimin Iskandar supaya bisa ikut menjaga lingkungan.
""Langkah deklarasi dukungan kepada Gus Imin ini juga sebagai upaya kami menjaga lingkungan. Butuh sosok pemimpin yang peduli lingkungan untuk menjaga lingkungan itu sendiri. Dan dalam hal ini, pilihan kami jatuh pada Gus Imin,"" terang pria karib disapa Tamtam ini."
15 Jun 2023 20:21;Perempuan Surabaya Lintas Profesi Deklarasi DukungMuhaiminIskandarCapres 2024;https://www.liputan6.com/surabaya/read/5320493/perempuan-surabaya-lintas-profesi-deklarasi-dukung-muhaimin-iskandar-capres-2024;"Liputan6.com, Surabaya -
Para Perempuan Surabaya Lintas Profesi mendeklarasikan diri dukungannya kepada Ketua Umum DPP PKB
Muhaimin Iskandar
atau Cak Imin sebagai calon Presiden 2024.
Pada deklarasi relawan pendukung Muhaimin Iskandar yang diikuti puluhan perempuan lintas profesi tersebut membawa spanduk bertuliskan “Deklarasi Dukungan Perempuan Surabaya Lintas Profesi, Gus Muhaimin Presiden 2024” di Warkop Bonsar, Gayungan, Ketintang, Surabaya.
BACA JUGA:
Cak Imin: Bansos Bakal Difokuskan untuk Lansia dan Penyandang Disabilitas
BACA JUGA:
Cak Imin: Sekolah Rakyat di UNESA Bukti Pemberantasan Kemiskinan Lewat Pendidikan
Baca Juga
Demo DPR Ricuh, Cak Imin: Pelajaran untuk Anggota Dewan
Terima Bintang Mahaputera Adipurna, Cak Imin Bilang Begini
Cak Imin Dorong Kampus Seluruh Indonesia Jalankan Program Sekolah Rakyat
“Dalam rangka Pilpres 2024, kami mendukung Muhaimin Iskandar sebagai Presiden 2024 dan diawali dengan deklarasi kebulatan tekad dari relawan Perempuan Surabaya Lintas Profesi hari ini,” terang Sylviana Renata ketua Perempuan Surabaya Lintas Profesi, Kamis (15/6/2023).
Advertisement
Sylviana menyatakan, dipilihnya Muhaimin Iskandar sebagai orang yang didorong untuk maju pada
Pilpres 2024
mendatang karena ada berbagai alasan. Selain Muhaimin dianggap satu-satunya calon yang cocok memimpin Indonesia, Muhaimin juga merupakan tokoh yang sangat menghargai perempuan.
“Bagi kami, Muhaimin Iskandar adalah tokoh yang mendukung kesetaraan gender. Kami yakin, nantinya setiap kebijakan yang beliau ambil akan mewujudkan emanispasi pada prempuan,” kata Sylviana.
Selain itu,
Cak Imin
juga dinilai memiliki kemampuan dalam memimpin yang tidak diragukan lagi serta rekam jejak yang jelas.
“Yang sangat penting juga adalah atitudenya. Kami lihat beliau sangat sopan, bermoral, religius dan gagah sebagai Panglima Santri. Maka dari itu sudah sepantasnya Indonesia dipimpin oleh Pemimpin sepertinya,” tuntas Sylviana."
12 Jun 2023 20:29;Gerindra soal Bakal Cawapres Prabowo Subianto:MuhaiminIskandarPegang Golden Ticket-nya;https://www.liputan6.com/pemilu/read/5317376/gerindra-soal-bakal-cawapres-prabowo-subianto-muhaimin-iskandar-pegang-golden-ticket-nya;"Liputan6.com, Jakarta
Sekretaris Jenderal Partai Gerindra, Ahmad Muzani menyebut Ketua Umum PKB Muhaimin memegang kunci emas sebagai bakal calon wakil presiden (bacawapres) Ketua Umum Gerindra
Prabowo Subianto
di Pilpres 2024.
Dia mengatakan, logikanya, ketika PKB mendukung Prabowo Subianto sebagai calon presiden (capres), maka cawapresnya diserahkan ke PKB. PKB sendiri mengajukan nama
Muhaimin Iskandar
.
BACA JUGA:
Fokus Urus Ekonomi, Prabowo Rapat Intensif dengan Airlangga dan Menteri Lain
BACA JUGA:
Isu Reshuffle: Prabowo Dikabarkan Lantik Menko Polkam dan Menpora Hari Ini, Muncul Nama Djamari Chaniago dan Erick Thohir
Baca Juga
Mendagri Pastikan Presiden Lantik Menko Polkam Definitif Hari Ini
Ahmad Dofiri Tiba di Istana Kepresidenan di Tengah Isu Reshuffle Kabinet
3 Wamen Jadi Komisaris Telkom Indonesia, Ini Daftarnya
""Karena itu berkali-kali saya sampaikan bahwa Pak Muhaimin itu megang kunci, bahkan kunci inggris, kadang bisa digedein kadang bisa dikecilin,"" ujar Muzani di Surabaya, Senin (12/6/2023).
Advertisement
""Pak Muhaimin itu pegang golden ticket untuk itu. Kami harus bertanya ke PKB, siapa? PKB mengusulkan agar Pak Muhaimin bisa mendampingi Pak Prabowo sebagai capres,"" lanjut dia.
Menurut dia, Gerindra menghormati dan menjunjung tinggi apa yang diharapkan PKB. Namanya (kunci) dipegang, bisa dipakai sendiri dan bisa tidak.
""Itu beberapa kali disampaikan Pak Prabowo, itu sebabnya kami percaya dengan PKB maupun hubungan dengan siapa pun dan berkomunikasi dengan siapa pun,"" kata Muzani.
Sebaliknya, PKB juga percaya dengan Gerindra. Semua komunikasi yang dibangun Gerindra, sambung dia, adalah cara untuk menguatkan koalisi yang dibangun oleh Gerindra dan PKB.
""Semua komunikasi yang dilakukan oleh Gerindra dan Pak
Prabowo
sebagai cara untuk menguatkan koalisi antara PKB dan Gerindra. Kita sama-sama percaya,"" tutur Muzani."
29 Mei 2023 04:13;MuhaiminIskandarMinta MK Investigasi Bocoran Putusan soal Sistem Pemilu yang Didapat Denny;https://www.liputan6.com/news/read/5300968/muhaimin-iskandar-minta-mk-investigasi-bocoran-putusan-soal-sistem-pemilu-yang-didapat-denny-indrayana;"Liputan6.com, Jakarta
Ketua Umum Partai Kebangkitan Bangsa (PKB) Abdul Muhaimin Iskandar meminta Mahkamah Konstitusi (MK) segera mengusut tuntas dugaan kebocoran putusan sistem proporsional tertutup. Dia menilai integritas
MK
harus dijaga jelang Pemilu 2024.
""Marwah dan integritas MK harus dijaga karena posisi MK krusial dalam menyelesaikan sengketa pilpres. Kalau ada kesan MK bisa diintervensi dan putusannya bocor, nanti rakyat enggak percaya lagi dengan MK. Sengketa pilpres bisa-bisa diselesaikan di jalanan nantinya,"" kata
Muhaimin Iskandar
, di Jakarta, seperti dilansir
Antara
, Minggu 28 Mei 2023.
BACA JUGA:
Permohonan Penyakit Kronis sebagai Ragam Disabilitas Masuki Babak Kedua di Mahkamah Konstitusi
BACA JUGA:
Polri Tanggapi Gugatan ke MK Soal Syarat Pendidikan Anggota Minimal S1
Baca Juga
Ini Rencana Arief Hidayat Pasca Pensiun Jadi Hakim MK
Ini Sikap Istana Pasca MK Larang Wamen Rangkap Jabatan
MK Larang Menteri dan Wamen Rangkap Jabatan di BUMN hingga Organisasi Dibiayai APBN
Menurut dia, kebocoran tersebut tidak hanya membuat kegaduhan publik, melainkan dapat mencoreng pula nama baik MK.
Advertisement
Dia pun mengaku terkejut sekaligus heran setelah membaca berita yang menyebut MK akan memutuskan Pemilu 2024 mendatang digelar dengan
sistem pemilu proporsional tertutup
.
""Ada berita soal putusan MK tentang sistem proporsional tertutup. Terlepas benar atau tidaknya info tersebut, tapi kok bisa ya keputusan MK belum dibacakan di depan persidangan tapi sudah bocor duluan?"" ujar pria yang akrab disapa Cak Imin tersebut.
Namun, Wakil Ketua DPR RI itu mengaku tidak mempersoalkan apapun materi yang akan menjadi keputusan MK terkait
sistem Pemilu
2024.
""Kalau mengenai materi putusan MK, tentu apapun putusannya kita akan menghormatinya sebagai keputusan yang final dan mengikat,"" ucapnya.
Dia meyakini
Mahkamah Konstitusi
memiliki dasar yang kuat dan terbaik dalam mengambil sebuah keputusan. ""Yang penting perlu dijaga agar dampak keputusan MK ini tidak menyulitkan KPU sehingga berpotensi menunda jadwal Pemilu,"" imbuhnya."
13 Apr 2023 17:01;MuhaiminIskandar: Saya Ranking 4 Survei Capres, Setelah Ganjar, Prabowo dan Anies;https://www.liputan6.com/news/read/5258482/muhaimin-iskandar-saya-ranking-4-survei-capres-setelah-ganjar-prabowo-dan-anies;"Liputan6.com, Jakarta
Nama Abdul Muhaimin Iskandar tak akan bisa dilepaskan dari Partai Kebangkitan Bangsa atau PKB. Alasannya sederhana, pria kelahiran Jombang, Jawa Timur pada 24 September 1966 itu sudah menjadi elite partai sejak PKB berdiri hingga sekarang.
Pria yang karib disapa Gus Imin atau Cak Imin ini adalah anak dari Muhammad Iskandar, keluarga Pondok Pesantren Manbaul Ma'arif, Jombang. Suami dari Rustini Murtadho dan ayah tiga anak ini juga keturunan KH Bisri Syamsuri, salah seorang ulama besar pendiri Nahdlatul Ulama
Pendidikan formal Cak Imin dimulai di Madrasah Tsanawiyah Negeri Jombang dan Madrasah Aliyah (MA) Negeri 1 Yogyakarta. Dia melanjutkan pendidikan sarjananya di FISIP Universitas Gadjah Mada (UGM). Ia melanjutkan masternya 10 tahun kemudian di Universitas Indonesia (UI) di bidang komunikasi dan lulus pada 2001.
Advertisement
Sejak di bangku kuliah, Cak Imin aktif di tempat-tempat diskusi dan di pergerakan mahasiswa. Dia antara lain menjadi Ketua Cabang Pergerakan Mahasiswa Islam Indonesia (PMII) Yogyakarta pada 1994-1997. Selain itu, dia juga aktif di Komite Nasional Pemuda Indonesia (KNPI) serta Lembaga Kajian Islam dan Sosial (LKiS) Yogyakarta, rujukan pemikiran Islam progresif saat itu.
Karier politik Cak Imin dimulai bersamaan lahirnya Era Reformasi. Pada tahun 1998, ia bersama tokoh-tokoh Nahdlatul Ulama termasuk Abdurrahman Wahid mendirikan Partai Kebangkitan Bangsa (PKB) dan ditunjuk sebagai Sekretaris Jenderal.
Pada pemilu 1999, Cak Imin terpilih sebagai anggota DPR RI dari PKB. Di lembaga legislatif tersebut, pada usia 33 tahun, Muhaimin menjadi Wakil Ketua DPR RI 1999-2004. Dia termasuk pimpinan termuda di DPR yang pernah ada saat itu. Muhaimin juga pernah menjabat Wakil Ketua Majelis Permusyawaratan Rakyat (MPR) sejak 26 Maret 2018 hingga 30 September 2019.
Tak hanya di legislatif, ia juga prenah dipercaya Presiden Susilo Bambang Yudhoyo (SBY) menjadi Menteri Tenaga Kerja dan Transmigrasi periode 2009-2014.
Kariernya terus meroket setelah mengambil kendali PKB dari Abdurrahman Wahid dan menjadi Ketua Umum PKB. Cak Imin menjabat Ketua Umum PKB sejak 2005 hingga pada Muktamar Bali 1 September 2014, ia secara aklamasi terpilih kembali sebagai Ketua Umum PKB untuk periode 2019-2024 karena dianggap berhasil menaikkan suara pada Pemilu 2014 menjadi 9,04%.
Di parlemen saat ini Muhaimin mengemban amanah sebagai Wakil Ketua Dewan Perwakilan Rakyat (DPR) Bidang Kesejahteraan Rakyat untuk periode 2019-2024.
Di sisi lain, sebagai Ketua Umum PKB, Cak Imin tengah menjajaki kerja sama dengan Partai Gerindra menyongsong Pilpres 2024. Namun, koalisi kedua partai dinilai masih cair lantaran petinggi kedua parpol masih bertemu dengan parpol lain di luar koalisi. Ditambah lagi, PKB dan Gerindra belum mengajukan pasangan capres-cawapres yang bakal mereka usung.
Lantas, bagaimana PKB menetapkan target suara di Pemilu 2024? Sebagai politisi kawakan, Cak Imin tentu punya strategi menghadapi tahun politik ini.
Berikut petikan wawancara Cak Imin dengan Sheila Octarina dalam
Bincang Liputan6
:"
