Tanggal,Judul,URL,Isi Berita
"Rabu, 17 Apr 2019 22:53 WIB",Jokowi Menang Lagi?,https://news.detik.com/x/detail/investigasi/20190417/Jokowi-Menang-Lagi/,"INVESTIGASI
Pilpres 2019

Menurut versiquick countyang dilakukan sejumlah lembaga survei, Jokowi-Ma’ruf unggul atas Prabowo-Sandi dengan selisih suara pada kisaran 9 persen.

Jokowi saat melakukantouringmenggunakan sepeda motor Chopper di Sukabumi, Jawa Barat, 9 April 2018. (Puspa Perwitasari/Antara Foto)
Djakarta Theatre kembali dipilih Tim Kampanye Nasional (TKN) Joko Widodo-Ma’ruf Amin untuk agenda Pilpres 2019. Rabu, 17 April 2019, sejumlah petinggi partai politik berkumpul sejak pukul 15.00 WIB untuk menunggu hasil hitung cepat (quick count) pilpres. Pencoblosan Pilpres dan Pileg 2019 memang baru saja selesai digelar.
Ada Ketua Umum Partai Demokrasi Indonesia Perjuangan Megawati Soekarnoputri, Ketua Umum Partai Hanura Oesman Sapta Odang, Ketua Umum Partai Kebangkitan Bangsa Muhaimin Iskandar, Menko Kemaritiman Luhut Panjaitan, dan Wakil Presiden Jusuf Kalla di meja bundar. Dan tentu saja Jokowi-Ma’ruf, yang datang belakangan.
“Di dalam itu nggak ada acara apa-apa. Pidato juga nggak. Cumangobrol-ngobrolsaja para ketua umum itu. Itu agenda buat menghabiskan waktu sajanungguQC (quick count),” kata Wakil Sekretaris TKN Ahmad Rofiq kepadadetikXdi Djakarta Theatre, Rabu 17 April 2019.
Ketika Jokowi tiba pada pukul 15.28 WIB, beberapa tokoh dan anggota TKN sudah langsung mengucapkan selamat.  Pasalnya, hasilquick countdari beberapa lembaga survei yang dipantau sudah menunjukkan kemenangan untuk capres-cawapres nomor urut 01. “Iya, semua langsungnyalamin,mengucapkan selamat,” katanya.
Pada pukul 17.00 WIB, dataquick countyang terkumpul sudah mendekati angka 100 persen dan menunjukkan Jokowi-Maruf tetap unggul atas pasangan capres-cawapres nomor urut 02 Prabowo Subianto-Sandiaga Salahuddin Uno. Jokowi pun memberikan pidato yang terbilang singkat untuk menyambut hasilquick count.
Jokowi-Ma'ruf bersama pimpinan parpol pendukung saat menanggapi hasilquick countdi Djakarta Teater, Rabu, 17 April 2019.Ray Jordan/detikcom
Jokowi tidak langsung berbicara mengenai kemenangan. Ia lebih dulu berterima kasih kepada Komisi Pemilihan Umum (KPU), Badan Pengawas Pemilu, dan Dewan Kehormatan Penyelenggara Pemilu (DKPP) karena pemilu sudah berjalan jujur dan adil. Ia juga berterima kasih kepada TNI-Polri yang sudah mengamankan jalannya pemilu dengan damai.
Selanjutnya, mantan Gubernur DKI Jakarta tersebut juga mengajak masyarakat Indonesia agar kembali bersatu pascapemilu yang berjalan serentak ini. ""Setelah pileg dan pilpres, menjalin, merawat persatuan-kerukunan kita sebagai saudara sebagai setanah air,"" kata Jokowi.
Terkait dengan hasilquick count, Jokowi tidak mau jemawa. Meski dariquick countdanexit polllembaga survei ia dan Ma’ruf menang, Jokowi meminta pendukungnya menunggu penghitungan resmi oleh KPU. ""Dari indikasiexit polldanquick counttadi, kita sudah bisa lihat, tapi kita harus bersabar menunggu penghitungan dari KPU secara resmi,"" ujarnya.
Hingga pukul 19.16 WIB, dengan data masuk 96,50 persen, Jokowi-Ma’ruf mengantongi kemenangan dengan raihan suara 55,29 persen dalamquick countLSI Denny JA. Sedangkan Prabowo-Sandi tertinggal di angka 44,71 persen. Angka itu bergerak cukup stabil sejak LSI Denny JA mulai merilis hasilquick countsejak pukul 15.00 WIB.
Sedangkan berdasarkan hasilexit pollLSI Denny JA, Jokowi memperoleh 56,4 persen dan Prabowo 43,6 persen. Hasil itu didasari surveiexit polldari 8.000 responden dari 2.000 TPS se-Indonesia yang dilakukan LSI Denny JA hingga sore pukul 15.37 WIB.
Aktivitas pencoblosan pemilu di sebuah TPS di Semarang, Jawa Tengah, Rabu, 17 April 2019.Angling Aditya Purbaya/detikcom
Quick countlembaga survei Indo Barometer juga menunjukkan angka yang kurang-lebih sama. Jokowi-Ma’ruf unggul 54,3 persen dibanding Prabowo-Sandi, yang mendapatkan dukungan 45,47 persen. Hasil itu berdasarkan data terkumpul 91,25 persen pada pukul 19,28 WIB. Hasil tak jauh beda tampak padaquick countLitbang Kompas, CSIS-Cyrus Network, dan Charta Politika.
Terkait dengan faktor kemenangan, Denny JA menyebut ada tiga hal yang membuat Jokowi-Ma’ruf unggul atas Prabowo-Sandi. Pertama adalah dari kelompok minoritas, yang meski jumlahnya kecil, antara 10-11 persen, mereka memimpikan pemimpin yang menjaga keragaman, sehingga Jokowi-Ma’ruf dipilih. Dari survei, untuk pemilih nonmuslim, yakni 82,7 persen mendukung Jokowi-Maruf dan 17,3 persen untuk Prabowo-Sandi.
Selain itu, Denny mengatakan program-program yang memihak 'wong cilik' membuat sebagian besar pendukung militan memilih Jokowi-Ma'ruf. Denny menyebut wong cilik adalah warga yang penghasilannya di bawah Rp 2 juta per bulan. Hasilnya, 58,8 persen memihak Jokowi dan 41,2 pesen mendukung Prabowo.
""Mereka dipuaskan oleh program populis Jokowi. Program pembagian sertifikat tanah gratis, keluarga harapan, kartu pintar, kartu sehat. Program inilah yang membuat mereka militan mendukung Jokowi,"" ujar Denny.
Pemilih muslim juga disebut sebagai faktor kemenangan Jokowi. Khususnya karena adanya sosok Ma'ruf. Data menyebutkan pemilih muslim yang memilih Jokowi-Ma'ruf sebanyak 52,9 persen, sedangkan yang memilih Prabowo-Sandi 47,1 persen. ""Segmen ketiga, pemilih muslim, yaitu komunitas NU. Yang menang di pemilih muslim ini besar pula kemenangan di pemilu. Komunitas yang merasakan bagian dari NU besar sekali. 40-50 persen dan mereka mendukung Jokowi-Ma'ruf,"" ujar Denny.
Ma'ruf Amin, yang digandeng Jokowi, dinilai mampu menahan politik identitas.Foto: Pradita Utama/detikcom
Sementara itu, dari dataexit pollCSIS-Cyrus Network, terlihat bahwa Jokowi-Ma’ruf mendominasi perolehan suara di Pulau Jawa. Paslon ini unggul di Jawa Timur, Jawa Tengah, dan DKI Jakarta. Sedangkan Prabowo unggul di Jawa Barat dan Banten. Itu berdasarkan dataexit poll92,4 persen data terkumpul sampai pukul 18.50 WIB.
Namun peneliti CSIS, Arya Fernandes, yang diwawancaraidetikXsebelum pencoblosan berlangsung, mengatakan perolehan suara Jokowi tidak jauh berbeda dari survei dua tahun yang lalu. Elektabilitas Jokowi tidak bergerak dari angka 50-55 persen. Begitu juga sebetulnya dengan sang penantang, Prabowo.
Hal yang unik, kata Arya, terjadishifting(perpindahan) target pemilih yang dilakukan Jokowi. Semula Jokowi menyasar kalangan pemilih pemula alias milenial. Namun belakangan fokusnya berubah ke pemilih muslim dan pesantren karena kekhawatiran Jokowi suaranya tergerus oleh politik identitas.
Arya melihat, di luar itu, tidak banyak yang mampu mengubah performa Jokowi secara signifikan. Tema-tema kampanye yang diusung Jokowi tidak banyak berpengaruh terhadap massa pemilih. Jokowi juga kembali berupaya mengedepankan sosoknya yang sederhana, tapi dinilainya tak berhasil.
Namun Arya juga menilai Jokowi cukup terbantu oleh kehadiran Ma’ruf. “Kehadiran Pak Ma’ruf itu menjadi penahan dari isu-isu yang berbasis identitas. Itu bisa diredam. Itu yang terutama, sehingga Jokowi lebih percaya diri membangun komunikasi dengan kelompok Islam. Jokowipedeuntuk masuk pesantren, berkomunikasi dengan para ulama, dan juga membicarakan isu-isu Islam,” ucap Arya, Senin, 15 April 2019.
Setelah acara memantauquick count, Jokowi dan tokoh-tokoh yang berkumpul lalu meninggalkan Djakarta Teater menjelang petang itu. Direktur Konten TKN Fiki Satari bilang, untuk sementara belum ada rencana TKN menggelar rapat menyikapi hasilquick count. “Semua senang. Tapi, seperti yang disampaikan Pak Jokowi, kita tunggu sampai hasil resmi KPU. Malam ini kita istirahat,” ujar Fiki kepadadetikX, Rabu, 17 April 2019.
Reporter:Ibad DurohmanPenulis/Editor:Irwan NugrohoDesainer:Irwan Nugroho"
"Rabu, 17 Apr 2019 22:50 WIB",Hasil Quick Count Nyaris 100% 6 Lembaga Survei: Jokowi Unggul!,https://news.detik.com/berita/d-4515451/hasil-quick-count-nyaris-100-6-lembaga-survei-jokowi-unggul,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:50 WIB","Ragukan Survei Luar, BPP DIY Berpegang Hasil Exit Poll Internal",https://news.detik.com/berita-jawa-tengah/d-4515449/ragukan-survei-luar-bpp-diy-berpegang-hasil-exit-poll-internal,"[Gambas:Video 20detik]
SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:45 WIB","Jokowi Disebut Unggul di Jateng, TKN Sindir Posko Prabowo",https://news.detik.com/berita/d-4515450/jokowi-disebut-unggul-di-jateng-tkn-sindir-posko-prabowo,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:43 WIB","AHY: Siapapun yang Terpilih, Harus Jadi Pemimpin Seluruh Rakyat RI",https://news.detik.com/berita/d-4515438/ahy-siapapun-yang-terpilih-harus-jadi-pemimpin-seluruh-rakyat-ri,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:42 WIB","Quick Count Indo Barometer 97%: Jokowi 54,53% Prabowo 45,47%",https://news.detik.com/berita/d-4515437/quick-count-indo-barometer-97-jokowi-54-53-prabowo-45-47,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:41 WIB","AHY: Ini Negara Hukum, Bila Ada Indikasi Kecurangan Gunakan Jalur Hukum",https://news.detik.com/berita/d-4515434/ahy-ini-negara-hukum-bila-ada-indikasi-kecurangan-gunakan-jalur-hukum,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:39 WIB",Analisis Konsepindo Soal Jokowi Ungguli Prabowo di Quick Count,https://news.detik.com/berita/d-4515433/analisis-konsepindo-soal-jokowi-ungguli-prabowo-di-quick-count,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:39 WIB",JK Minta Pileg dan Pilpres Dipisah pada 2024,https://news.detik.com/berita/d-4515436/jk-minta-pileg-dan-pilpres-dipisah-pada-2024,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
"Rabu, 17 Apr 2019 22:39 WIB",Prabowo Pulang ke Hambalang,https://news.detik.com/berita/d-4515435/prabowo-pulang-ke-hambalang,"SCROLL TO CONTINUE WITH CONTENT
[Gambas:Video 20detik]
[Gambas:Video 20detik]"
